country,year,population,continent,life_exp,gdp_cap,ln_population,ln_life_exp,ln_gdpPercap
Afghanistan,1952,8425333,Asia,28.801,779.4453145,6.925587075,1.459407567,6.658582531
Afghanistan,1957,9240934,Asia,30.332,820.8530296,6.965715868,1.481901047,6.71034408
Afghanistan,1962,10267083,Asia,31.997,853.10071,7.011447073,1.505109261,6.748877606
Afghanistan,1967,11537966,Asia,34.02,836.1971382,7.062129255,1.531734309,6.728864397
Afghanistan,1972,13079460,Asia,36.088,739.9811058,7.116589814,1.557362814,6.606624653
Afghanistan,1977,14880372,Asia,38.438,786.11336,7.172613788,1.584760782,6.667101006
Afghanistan,1982,12881816,Asia,39.854,978.0114388,7.109977092,1.600471916,6.885521366
Afghanistan,1987,13867957,Asia,40.822,852.3959448,7.142012486,1.610894278,6.748051143
Afghanistan,1992,16317921,Asia,41.674,649.3413952,7.212664826,1.619865187,6.475958611
Afghanistan,1997,22227415,Asia,41.763,635.341351,7.346888958,1.620791688,6.454162415
Afghanistan,2002,25268405,Asia,42.129,726.7340548,7.402577829,1.624581151,6.588560599
Afghanistan,2007,31889923,Asia,43.828,974.5803384,7.503653471,1.641751653,6.882006956
Albania,1952,1282697,Europe,55.23,1601.056136,6.108124079,1.742175043,7.378418775
Albania,1957,1476505,Europe,59.28,1942.284244,6.169234922,1.772908195,7.571620005
Albania,1962,1728137,Europe,64.82,2312.888958,6.237578169,1.811709027,7.746252653
Albania,1967,1984060,Europe,66.22,2760.196931,6.297554802,1.820989176,7.923057308
Albania,1972,2263554,Europe,67.69,3313.422188,6.35479086,1.830524514,8.105736828
Albania,1977,2509048,Europe,68.93,3533.00391,6.39950897,1.838408278,8.169903754
Albania,1982,2780097,Europe,70.42,3630.880722,6.444059949,1.847696021,8.197230521
Albania,1987,3075321,Europe,72,3738.932735,6.487890454,1.857332496,8.226555485
Albania,1992,3326498,Europe,71.581,2497.437901,6.521987267,1.854797761,7.823020646
